Id,Pk,Label,Title,Year:int,Minutes:int
tt0015724,tt0015724,Movie,Dama de noche,1993,102
tt0035423,tt0035423,Movie,Kate & Leopold,2001,118
tt0036177,tt0036177,Movie,Muhomatsu no issho,2008,100
tt0036606,tt0036606,Movie,Another Time Another Place,1983,118
tt0057713,tt0057713,Movie,Threshold of Spring,1983,120
tt0059325,tt0059325,Movie,Born in '45,1990,100
tt0065530,tt0065530,Movie,Le cercle des passions,1983,108
tt0069049,tt0069049,Movie,The Other Side of the Wind,2018,122
tt0073537,tt0073537,Movie,Double Exposure,1982,100
tt0074994,tt0074994,Movie,Tempyo no iraka,1980,120
tt0076043,tt0076043,Movie,Fontamara,1980,139
tt0076322,tt0076322,Movie,Llocsi caimanta,1981,100
tt0076580,tt0076580,Movie,Qian zuo guai,1980,101
tt0076733,tt0076733,Movie,Sois belle et tais-toi,1981,115
tt0077173,tt0077173,Movie,Las apariencias engañan,1983,109
tt0077389,tt0077389,Movie,D.F./Distrito Federal,1981,115
tt0077722,tt0077722,Movie,A Ilha dos Amores,1982,170
tt0077883,tt0077883,Movie,Love Between the Raindrops,1980,126
tt0078075,tt0078075,Movie,Wire Dog,1980,113
tt0078178,tt0078178,Movie,Le rose et le blanc,1982,100
tt0078356,tt0078356,Movie,Tusk,1980,119
tt0078428,tt0078428,Movie,Two Champions of Death,1980,101
tt0078732,tt0078732,Movie,Action,1980,121
tt0078806,tt0078806,Movie,The Attic,1980,101
tt0078813,tt0078813,Movie,The Miser,1980,125
tt0078842,tt0078842,Movie,Békeidö,1980,105
tt0078868,tt0078868,Movie,Confidence,1980,105
tt0078876,tt0078876,Movie,Ion: Blestemul pamîntului blestemul iubirii,1980,205
tt0078894,tt0078894,Movie,Les bons débarras,1980,120
tt0078918,tt0078918,Movie,The Bushido Blade,1981,104
tt0078920,tt0078920,Movie,Barbara,1980,136
tt0078923,tt0078923,Movie,It's Not Me It's Him,1980,105
tt0078926,tt0078926,Movie,The Good Thief,1980,108
tt0078929,tt0078929,Movie,Cameriera senza... malizia,1980,103
tt0078948,tt0078948,Movie,Dark Sun,1980,135
tt0078962,tt0078962,Movie,The Horse of Pride,1980,120
tt0079090,tt0079090,Movie,The Conductor,1980,101
tt0079106,tt0079106,Movie,The Imprint of Giants,1980,141
tt0079130,tt0079130,Movie,F.E.N.,1980,114
tt0079145,tt0079145,Movie,La femme flic,1980,103
tt0079170,tt0079170,Movie,Born Wild Run Free,1987,117
tt0079181,tt0079181,Movie,Fuego en el mar,1981,111
tt0079186,tt0079186,Movie,Fábián Bálint találkozása Istennel,1980,105
tt0079198,tt0079198,Movie,The Frozen Heart,1980,108
tt0079246,tt0079246,Movie,Guaguasi,1983,107
tt0079252,tt0079252,Movie,Le guignolo,1980,108
tt0079256,tt0079256,Movie,HealtH,1980,105
tt0079293,tt0079293,Movie,Space Firebird,1980,122
tt0079341,tt0079341,Movie,El infierno de todos tan temido,1981,108
tt0079346,tt0079346,Movie,La insurrección,1980,101
tt0079405,tt0079405,Movie,The Children from Number 67,1980,103
tt0079424,tt0079424,Movie,Két történet a félmúltból,1980,106
tt0079446,tt0079446,Movie,Latitude 55°,1982,102
tt0079518,tt0079518,Movie,Mamá levántate y anda,1980,100
tt0079556,tt0079556,Movie,Un millón por tu historia,1980,102
tt0079572,tt0079572,Movie,Mojado Power,1981,108
tt0079579,tt0079579,Movie,Moscow Does Not Believe in Tears,1980,150
tt0079586,tt0079586,Movie,Girl with the Golden Panties,1980,105
tt0079610,tt0079610,Movie,Naplemente délben,1980,100
tt0079617,tt0079617,Movie,The Truth on the Savolta Affair,1980,120
tt0079619,tt0079619,Movie,Oblomov,1980,140
tt0079644,tt0079644,Movie,November 1828,2001,140
tt0079678,tt0079678,Movie,The Ortlieb Woman,1981,113
tt0079680,tt0079680,Movie,Osobo vazhnoye zadaniye,1981,138
